    i        x0             x1             x2             f             norm
----------------------------------------------------------------------------------
    0  -4.000000e+00  -3.000000e+00   1.000000e+00   5.097119e-03   1.118034e+00
    1  -4.000000e+00  -3.000000e+00   1.000000e+00   5.097119e-03   1.030776e+00
    2  -4.000000e+00  -3.000000e+00   1.000000e+00   5.097119e-03   9.437293e-01
    3  -2.564815e+00  -3.453704e+00   4.537037e-01   4.261464e-03   9.187949e-01
    4  -2.564815e+00  -3.453704e+00   4.537037e-01   4.261464e-03   8.931714e-01
    5  -2.531121e+00  -3.676183e+00   3.428498e-01   3.781545e-03   7.169223e-01
    6  -2.531121e+00  -3.676183e+00   3.428498e-01   3.781545e-03   3.748610e-01
    7  -2.531121e+00  -3.676183e+00   3.428498e-01   3.781545e-03   3.643224e-01
    8  -2.531121e+00  -3.676183e+00   3.428498e-01   3.781545e-03   3.470906e-01
    9  -3.013058e+00  -3.434290e+00   6.148459e-01   3.777692e-03   2.422458e-01
   10  -2.635936e+00  -3.561936e+00   4.623994e-01   3.761178e-03   2.239952e-01
   11  -2.635936e+00  -3.561936e+00   4.623994e-01   3.761178e-03   2.239952e-01
   12  -2.664628e+00  -3.600260e+00   4.159746e-01   3.735019e-03   1.841127e-01
   13  -2.664628e+00  -3.600260e+00   4.159746e-01   3.735019e-03   1.016200e-01
   14  -2.664628e+00  -3.600260e+00   4.159746e-01   3.735019e-03   9.665043e-02
   15  -2.971004e+00  -3.549947e+00   4.378965e-01   3.728881e-03   1.280810e-01
   16  -2.671303e+00  -3.702843e+00   2.441095e-01   3.721589e-03   1.595628e-01
   17  -2.845493e+00  -3.719878e+00   2.421939e-01   3.662244e-03   1.729378e-01
   18  -2.845493e+00  -3.719878e+00   2.421939e-01   3.662244e-03   1.729378e-01
   19  -2.845493e+00  -3.719878e+00   2.421939e-01   3.662244e-03   1.729378e-01
   20  -2.845493e+00  -3.719878e+00   2.421939e-01   3.662244e-03   1.729378e-01
   21  -2.845493e+00  -3.719878e+00   2.421939e-01   3.662244e-03   1.729378e-01
   22  -3.055951e+00  -3.749373e+00   2.158035e-01   3.652330e-03   1.729378e-01
   23  -2.744161e+00  -3.898116e+00   3.017485e-02   3.635755e-03   1.729378e-01
   24  -2.744161e+00  -3.898116e+00   3.017485e-02   3.635755e-03   1.593490e-01
   25  -3.061806e+00  -4.020817e+00  -1.250697e-01   3.609895e-03   2.059296e-01
   26  -3.061806e+00  -4.020817e+00  -1.250697e-01   3.609895e-03   1.730627e-01
   27  -2.888356e+00  -4.122788e+00  -2.105986e-01   3.587633e-03   2.067912e-01
   28  -2.888356e+00  -4.122788e+00  -2.105986e-01   3.587633e-03   2.067912e-01
   29  -2.888356e+00  -4.122788e+00  -2.105986e-01   3.587633e-03   1.495718e-01
   30  -2.888356e+00  -4.122788e+00  -2.105986e-01   3.587633e-03   1.495718e-01
   31  -3.081119e+00  -4.387006e+00  -4.852753e-01   3.578891e-03   2.174790e-01
   32  -3.081119e+00  -4.387006e+00  -4.852753e-01   3.578891e-03   2.066060e-01
   33  -3.081119e+00  -4.387006e+00  -4.852753e-01   3.578891e-03   2.066060e-01
   34  -3.054882e+00  -4.463334e+00  -5.508592e-01   3.572879e-03   2.066060e-01
   35  -3.054882e+00  -4.463334e+00  -5.508592e-01   3.572879e-03   1.508946e-01
   36  -2.920419e+00  -4.362006e+00  -4.487164e-01   3.572732e-03   1.156144e-01
   37  -2.920419e+00  -4.362006e+00  -4.487164e-01   3.572732e-03   1.156144e-01
   38  -2.913665e+00  -4.508442e+00  -5.889186e-01   3.572425e-03   1.156144e-01
   39  -2.935590e+00  -4.394266e+00  -4.742257e-01   3.570722e-03   9.900096e-02
   40  -2.935590e+00  -4.394266e+00  -4.742257e-01   3.570722e-03   8.251652e-02
   41  -2.971786e+00  -4.534768e+00  -6.116507e-01   3.570291e-03   8.251652e-02
   42  -2.971786e+00  -4.534768e+00  -6.116507e-01   3.570291e-03   8.251652e-02
   43  -2.971786e+00  -4.534768e+00  -6.116507e-01   3.570291e-03   8.251652e-02
   44  -3.030942e+00  -4.531161e+00  -6.052192e-01   3.569649e-03   8.251652e-02
   45  -3.030942e+00  -4.531161e+00  -6.052192e-01   3.569649e-03   8.251652e-02
   46  -2.973874e+00  -4.501911e+00  -5.752548e-01   3.569170e-03   5.817874e-02
   47  -2.973874e+00  -4.501911e+00  -5.752548e-01   3.569170e-03   5.817874e-02
   48  -2.973874e+00  -4.501911e+00  -5.752548e-01   3.569170e-03   5.143141e-02
   49  -2.973874e+00  -4.501911e+00  -5.752548e-01   3.569170e-03   5.143141e-02
   50  -2.973874e+00  -4.501911e+00  -5.752548e-01   3.569170e-03   5.143141e-02
   51  -2.973874e+00  -4.501911e+00  -5.752548e-01   3.569170e-03   3.634639e-02
   52  -2.973874e+00  -4.501911e+00  -5.752548e-01   3.569170e-03   3.283156e-02
   53  -2.973874e+00  -4.501911e+00  -5.752548e-01   3.569170e-03   2.743952e-02
   54  -2.974002e+00  -4.533902e+00  -6.063515e-01   3.569135e-03   1.831006e-02
   55  -2.953379e+00  -4.519045e+00  -5.921147e-01   3.569130e-03   1.831006e-02
   56  -2.953379e+00  -4.519045e+00  -5.921147e-01   3.569130e-03   1.831006e-02
   57  -2.968281e+00  -4.512180e+00  -5.850516e-01   3.569105e-03   1.429534e-02
   58  -2.962951e+00  -4.518055e+00  -5.902924e-01   3.569097e-03   1.356339e-02
   59  -2.967769e+00  -4.525164e+00  -5.977522e-01   3.569093e-03   8.807795e-03
   60  -2.967769e+00  -4.525164e+00  -5.977522e-01   3.569093e-03   7.332480e-03
   61  -2.965903e+00  -4.516419e+00  -5.891288e-01   3.569091e-03   5.579161e-03
   62  -2.963730e+00  -4.519084e+00  -5.915553e-01   3.569089e-03   5.412302e-03
   63  -2.963730e+00  -4.519084e+00  -5.915553e-01   3.569089e-03   4.879057e-03
   64  -2.965962e+00  -4.521748e+00  -5.943556e-01   3.569087e-03   2.985148e-03
   65  -2.965962e+00  -4.521748e+00  -5.943556e-01   3.569087e-03   2.187122e-03
   66  -2.965839e+00  -4.522366e+00  -5.947394e-01   3.569086e-03   2.187122e-03
   67  -2.965839e+00  -4.522366e+00  -5.947394e-01   3.569086e-03   1.445056e-03
   68  -2.965839e+00  -4.522366e+00  -5.947394e-01   3.569086e-03   1.194561e-03
   69  -2.965839e+00  -4.522366e+00  -5.947394e-01   3.569086e-03   1.110997e-03
   70  -2.965281e+00  -4.523168e+00  -5.955264e-01   3.569086e-03   1.110997e-03
   71  -2.965281e+00  -4.523168e+00  -5.955264e-01   3.569086e-03   1.035608e-03
   72  -2.965281e+00  -4.523168e+00  -5.955264e-01   3.569086e-03   7.850581e-04
